"investor_id","investor_type","first_idx","last_idx","obs_hi","obs_lo","n_obs","elig_hi","elig_lo","cov_hi","cov_lo","span","cycle"
"002LHN-E","HF",1,59,29,30,59,29,30,1,1,59,"quarterly"
"002LRJ-E","HF",1,42,9,10,19,21,21,0.428571428571429,0.476190476190476,42,"intermittent"
"002LSM-E","HF",44,85,21,21,42,41,41,0.51219512195122,0.51219512195122,42,"intermittent"
"002LY0-E","HF",1,49,22,22,44,24,25,0.916666666666667,0.88,49,"quarterly"
"002MW6-E","HF",1,75,27,29,56,37,38,0.72972972972973,0.763157894736842,75,"intermittent"
"002NGP-E","HF",1,14,7,7,14,7,7,1,1,14,"quarterly"
"002P9V-E","HF",28,73,18,19,37,31,31,0.580645161290323,0.612903225806452,46,"intermittent"
"002PFM-E","HF",1,85,29,30,59,42,43,0.69047619047619,0.697674418604651,85,"intermittent"
"002S10-E","HF",1,9,4,5,9,4,5,1,1,9,"quarterly"
"002SBB-E","HF",1,30,12,13,25,15,15,0.8,0.866666666666667,30,"quarterly"
"002SQ3-E","HF",1,85,35,36,71,42,43,0.833333333333333,0.837209302325581,85,"quarterly"
"002SQC-E","HF",12,18,4,3,7,8,7,0.5,0.428571428571429,7,"intermittent"
"002SXM-E","HF",1,11,5,6,11,5,6,1,1,11,"quarterly"
"002T2S-E","HF",1,16,8,8,16,8,8,1,1,16,"quarterly"
"002T5P-E","HF",18,23,2,3,5,10,10,0.2,0.3,6,"intermittent"
"002T7Z-E","HF",1,9,4,5,9,4,5,1,1,9,"quarterly"
"002T9S-E","HF",52,58,4,3,7,27,27,0.148148148148148,0.111111111111111,7,"intermittent"
"002TCB-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002TH3-E","HF",1,26,7,7,14,13,13,0.538461538461538,0.538461538461538,26,"intermittent"
"002TJ0-E","HF",1,85,25,27,52,42,43,0.595238095238095,0.627906976744186,85,"intermittent"
"002TK0-E","HF",1,69,34,35,69,34,35,1,1,69,"quarterly"
"002TL6-E","HF",1,85,31,33,64,42,43,0.738095238095238,0.767441860465116,85,"intermittent"
"002TNZ-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002TRD-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"002TWC-E","HF",1,21,10,10,20,10,11,1,0.909090909090909,21,"quarterly"
"002TX2-E","HF",85,85,0,1,1,4,5,0,0.2,1,"intermittent"
"002TXY-E","HF",1,11,5,6,11,5,6,1,1,11,"quarterly"
